match,PSW,win0,confidence0,date,winner,,,pred correct?
47927,1.56,0,1.570228451,10/18/2018,Schwartzman D.,-1,,
50538,1.76,0,1.570030546,10/18/2019,Mannarino A.,-1,,
43556,2.71,1,1.569369333,3/22/2017,Struff J.L.,1.71,,
48631,2.62,1,1.568558477,2/27/2019,Auger-Aliassime F.,1.62,,
46536,2.44,1,1.568378779,5/8/2018,Harrison R.,1.44,,
35263,1.48,0,1.568082817,1/18/2014,Bautista R.,-1,,
42853,2.28,1,1.567466139,1/2/2017,Stepanek R.,1.28,,
53775,2.36,1,1.567071239,8/15/2021,Paire B.,1.36,,
49749,2.6,1,1.56603111,7/17/2019,Ramos-Vinolas A.,1.6,,
52927,2.47,1,1.565898785,5/11/2021,Auger-Aliassime F.,1.47,,
44884,1.51,0,1.565754241,8/22/2017,Struff J.L.,-1,,
46603,1.72,0,1.564825433,5/15/2018,Pouille L.,-1,,
31047,2.52,1,1.564739735,5/28/2012,Troicki V.,1.52,,
41349,1.56,0,1.563741359,5/8/2016,Ramos-Vinolas A.,-1,,
56931,1.62,0,1.563539565,10/27/2022,Bautista Agut R.,-1,,
48127,1.74,0,1.561954626,1/2/2019,Berdych T.,-1,,
34426,3.03,1,1.561348429,8/11/2013,Nadal R.,2.03,,
49729,1.65,0,1.561339435,7/16/2019,Novak D.,-1,,
46089,1.58,0,1.561199711,3/9/2018,Verdasco F.,-1,,
39031,2.61,1,1.561112708,6/16/2015,Kukushkin M.,1.61,,
47746,2.65,1,1.560935796,9/28/2018,Verdasco F.,1.65,,
52702,2.44,1,1.560822322,4/14/2021,Pouille L.,1.44,,
43773,1.61,0,1.559983415,4/25/2017,Dutra Silva R.,-1,,
55280,2.46,1,1.559278401,4/13/2022,Fritz T.,1.46,,
42077,1.73,0,1.559037284,7/24/2016,Lopez F.,-1,,
45671,2.4,1,1.558742952,1/17/2018,Dzumhur D.,1.4,,
31325,1.59,0,1.557285658,6/25/2012,Tipsarevic J.,-1,,
42545,1.52,0,1.557064363,10/4/2016,Simon G.,-1,,
53308,2.4,1,1.55674058,6/22/2021,Lopez F.,1.4,,
39417,1.67,0,1.556420106,7/30/2015,Sousa J.,-1,,
46497,1.75,0,1.556216998,5/3/2018,Tsitsipas S.,-1,,
