match,PSW,win0,confidence0,date,winner,,correct?,,
26747,2.16,1,1.715405548,9/17/2018,Ferro F.,,,,
25430,1.53,0,1.714246591,4/7/2018,Babos T.,,,,
32482,1.65,0,1.71375748,8/18/2021,Azarenka V.,,,,
27913,1.66,0,1.711966452,4/8/2019,Schmiedlova A.,,,,
28016,1.74,0,1.711887637,4/26/2019,Bertens K.,,,,
33706,1.56,0,1.711772566,3/19/2022,Swiatek I.,,,,
33684,1.6,0,1.70986749,3/14/2022,Halep S.,,,,
24128,2.08,1,1.709089336,8/30/2017,Ozaki R.,,,,
24761,1.51,0,1.709031145,1/4/2018,Sevastova A.,,,,
22880,2.5,1,1.708720386,3/30/2017,Wozniacki C.,,,,
13741,1.81,0,1.708387953,6/28/2013,Pennetta F.,,,,
30676,1.59,0,1.706528462,10/24/2020,Azarenka V.,,,,
21860,2.26,1,1.706505039,9/25/2016,Vinci R.,,,,
11546,1.5,0,1.70595656,8/7/2012,Scheepers C.,,,,
16102,1.71,0,1.705453857,6/24/2014,Duval V.,,,,
24336,2.24,1,1.704342804,9/21/2017,Hon P.,,,,
33310,1.7,0,1.70344246,1/18/2022,Watson H.,,,,
18084,1.56,0,1.702069421,5/3/2015,Azarenka V.,,,,
18872,1.47,0,1.700441481,8/4/2015,Stosur S.,,,,
29071,2.57,1,1.699024672,8/27/2019,Di Lorenzo F.,,,,
15403,1.67,0,1.698929319,4/1/2014,Vesnina E.,,,,
12253,1.36,0,1.697155235,12/31/2012,Peng S.,,,,
18193,3.29,1,1.69616946,5/17/2015,Razzano V.,,,,
29366,1.53,0,1.695040623,9/24/2019,Bertens K.,,,,
23108,1.44,0,1.695039117,5/2/2017,Gavrilova D.,,,,
21449,1.56,0,1.694893951,8/1/2016,Ozaki R.,,,,
33255,1.56,0,1.694701074,1/12/2022,Samsonova L.,,,,
14517,1.71,0,1.692408308,10/7/2013,Nara K.,,,,
32199,1.71,0,1.690121731,7/8/2021,Yastremska D.,,,,
29491,2.31,1,1.689468037,10/8/2019,Cornet A.,,,,
26459,1.56,0,1.689407072,8/11/2018,Svitolina E.,,,,
26385,1.79,0,1.689379278,8/2/2018,Buzarnescu M.,,,,
29283,2.4,1,1.687735291,9/17/2019,Paolini J.,,,,
20913,2.82,1,1.687632208,5/27/2016,Stosur S.,,,,
17541,2.89,1,1.687018515,2/18/2015,Pliskova Ka.,,,,
28008,1.42,0,1.686242348,4/25/2019,Kerber A.,,,,
11397,1.54,0,1.686087867,7/11/2012,Wickmayer Y.,,,,
31350,1.39,0,1.685780405,3/27/2021,Sabalenka A.,,,,
27162,1.45,0,1.683877732,12/31/2018,Wang Xin.,,,,
22457,1.62,0,1.68293674,1/25/2017,Williams S.,,,,
21827,1.53,0,1.68281512,9/21/2016,Riske A.,,,,
26835,1.53,0,1.681585313,9/24/2018,Wang Q.,,,,
17292,1.68,0,1.681003596,1/19/2015,Diyas Z.,,,,
15206,1.43,0,1.680813362,3/7/2014,Safarova L.,,,,
17336,1.56,0,1.680464804,1/20/2015,Gibbs N.,,,,
13730,1.71,0,1.679954131,6/27/2013,Martic P.,,,,
30442,1.72,0,1.679548461,9/14/2020,Kovinic D.,,,,
33704,1.75,0,1.67852529,3/17/2022,Sakkari M.,,,,
20765,2.51,1,1.677993452,5/16/2016,Bondarenko K.,,,,
29570,2.36,1,1.677302512,10/16/2019,Siegemund L.,,,,
32464,2.52,1,1.6762394,8/17/2021,Rogers S.,,,,
26288,1.4,0,1.674988251,7/23/2018,Liang E.S.,,,,
28807,2.66,1,1.674751158,7/25/2019,Paolini J.,,,,
25708,2.27,1,1.674593058,5/15/2018,Babos T.,,,,
22932,1.61,0,1.67418739,4/5/2017,Bertens K.,,,,
21713,1.69,0,1.672550644,9/12/2016,Crawford S.,,,,
