match,PSW,win0,confidence0,date,winner,,,correct pred?
31151,1.89,0,1.447168926,3/8/2021,Cocciaretto E.,-1,-100,
29715,1.54,0,1.445351946,1/13/2020,Watson H.,-1,-100,
34102,1.6,0,1.44534177,5/18/2022,Bronzetti L.,-1,-100,
29186,1.78,0,1.444975052,9/10/2019,Sorribes Tormo S.,-1,-100,
23466,1.57,0,1.444013838,6/12/2017,Giorgi C.,-1,-100,
31461,1.92,0,1.443721644,4/10/2021,Kudermetova V.,-1,-100,
25001,2.34,1,1.443358051,2/1/2018,Wang Yaf.,1.34,134,
33434,1.52,0,1.443262478,2/11/2022,Kontaveit A.,-1,-100,
22241,1.72,0,1.443188343,1/4/2017,Ostapenko J.,-1,-100,
24349,2.72,1,1.442821693,9/23/2017,Pavlyuchenkova A.,1.72,172,
25015,1.77,0,1.442505155,2/3/2018,Kvitova P.,-1,-100,
24509,2.09,0,1.442387662,10/9/2017,Arruabarrena L.,-1,-100,
29128,2.21,1,1.442015307,8/31/2019,Ahn K.,1.21,121,
29066,1.71,0,1.442010451,8/27/2019,Petkovic A.,-1,-100,
34705,2.3,1,1.441843547,7/23/2022,Begu I.,1.3,130,
34507,1.59,0,1.441222427,6/28/2022,Wickmayer Y.,-1,-100,
35397,2.06,1,1.441177036,10/12/2022,Bondar A.,1.06,106,
25324,1.65,0,1.440323849,3/24/2018,Azarenka V.,-1,-100,
25677,1.57,0,1.439985192,5/10/2018,Garcia C.,-1,-100,
29617,1.69,0,1.439897735,10/31/2019,Barty A.,-1,-100,
26748,2.16,1,1.439733946,9/17/2018,Ferro F.,1.16,116,
25917,2.27,1,1.438927308,6/4/2018,Kasatkina D.,1.27,127,
26281,1.7,0,1.437946597,7/20/2018,Jabeur O.,-1,-100,
25334,1.56,0,1.437903749,3/25/2018,Konta J.,-1,-100,
31124,1.65,0,1.43720145,3/4/2021,Mladenovic K.,-1,-100,
29757,2.17,1,1.437124213,1/15/2020,Kerber A.,1.17,117,
32747,1.71,0,1.437031285,9/17/2021,Vondrousova M.,-1,-100,
23304,1.55,0,1.436912569,5/23/2017,Riske A.,-1,-100,
22528,1.76,0,1.436762185,2/15/2017,Garcia C.,-1,-100,
27952,1.64,0,1.436615784,4/11/2019,Swiatek I.,-1,-100,
22389,1.65,0,1.43655083,1/17/2017,Falconi I.,-1,-100,
22893,1.74,0,1.435649824,4/3/2017,Puig M.,-1,-100,
32475,2.47,1,1.43423639,8/18/2021,Ostapenko J.,1.47,147,
25125,2.26,1,1.433279743,2/23/2018,Kuzmova V.,1.26,126,
26996,2.31,1,1.432312329,10/9/2018,Bacsinszky T.,1.31,131,
24206,1.81,1,1.432031049,9/11/2017,Han X.,0.81,81,
28018,1.76,0,1.431745209,4/26/2019,Strycova B.,-1,-100,
23132,2.33,1,1.431269357,5/3/2017,Konjuh A.,1.33,133,
28237,1.65,0,1.430570379,5/22/2019,Kostyuk M.,-1,-100,
22735,1.93,0,1.429745175,3/10/2017,Vinci R.,-1,-100,
35509,2.03,1,1.428743509,1/3/2023,Blinkova A.,1.03,103,
29162,1.71,0,1.428228231,9/9/2019,Hon P.,-1,-100,
26097,1.8,0,1.428185207,6/29/2018,Wozniacki C.,-1,-100,
27785,1.96,0,1.428106103,3/22/2019,Andreescu B.,-1,-100,
27928,1.87,0,1.427319981,4/9/2019,Linette M.,-1,-100,
28572,2,1,1.427266104,6/27/2019,Kerber A.,1,100,
34405,2.25,1,1.427240051,6/20/2022,Cornet A.,1.25,125,
