match,PSW,win0,confidence0,date,winner,,,correct pred?,
51167,1.56,0,1.664839486,2/25/2020,Kwon S.W.,-1,-50,,
56153,1.95,1,1.664764827,7/26/2022,Bagnis F.,0.95,47.5,,
55017,1.6,0,1.663733527,3/11/2022,Korda S.,-1,-50,,
51104,2.44,1,1.662102616,2/20/2020,Simon G.,1.44,72,,
49729,1.65,0,1.661976811,7/16/2019,Novak D.,-1,-50,,
44272,1.93,0,1.660907006,6/20/2017,Tomic B.,-1,-50,,
54210,2.85,1,1.660178541,10/18/2021,Lajovic D.,1.85,92.5,,
51088,1.68,0,1.659029316,2/19/2020,Gerasimov E.,-1,-50,,
55410,2.48,1,1.658102681,4/28/2022,Otte O.,1.48,74,,
54628,1.61,0,1.657337949,1/24/2022,Tsitsipas S.,-1,-50,,
48747,1.64,0,1.656799771,3/11/2019,Karlovic I.,-1,-50,,
52772,2.56,1,1.65514389,4/21/2021,Nishikori K.,1.56,78,,
51592,1.56,0,1.654527853,9/30/2020,Fritz T.,-1,-50,,
49781,2.2,1,1.65388388,7/22/2019,Rublev A.,1.2,60,,
48207,1.78,0,1.652793608,1/10/2019,Schwartzman D.,-1,-50,,
51476,1.69,0,1.652653713,9/18/2020,Ruud C.,-1,-50,,
56175,1.56,0,1.652109064,7/27/2022,Tiafoe F.,-1,-50,,
57443,2.51,1,1.651718338,2/20/2023,Martinez P.,1.51,75.5,,
50336,2.46,1,1.649975125,9/26/2019,Gerasimov E.,1.46,73,,
44635,2.33,1,1.649567886,7/28/2017,Haase R.,1.33,66.5,,
51947,2.12,1,1.649535826,1/8/2021,Quiroz R.,1.12,56,,
52086,1.57,0,1.649133083,2/5/2021,Evans D.,-1,-50,,
48164,1.72,0,1.648728647,1/6/2019,Klizan M.,-1,-50,,
44794,2.86,1,1.648086455,8/10/2017,Chung H.,1.86,93,,
54155,1.78,0,1.646660728,10/10/2021,Garin C.,-1,-50,,
43380,2.2,1,1.646388969,2/28/2017,Giannessi A.,1.2,60,,
48933,2.27,1,1.645279499,4/14/2019,Paire B.,1.27,63.5,,
57317,1.61,0,1.644952906,2/9/2023,Sonego L.,-1,-50,,
55405,1.68,0,1.644610384,4/27/2022,Tiafoe F.,-1,-50,,
53726,3.08,1,1.643374898,8/7/2021,Mcdonald M.,2.08,104,,
48563,1.53,0,1.643279448,2/21/2019,Goffin D.,-1,-50,,
54340,1.67,0,1.642673114,11/2/2021,Paul T.,-1,-50,,
56977,1.56,0,1.640508567,11/1/2022,Khachanov K.,-1,-50,,
43666,1.65,0,1.639669991,4/13/2017,Paire B.,-1,-50,,
51891,1.56,0,1.639367732,11/7/2020,Medvedev D.,-1,-50,,
