match,PSW,win0,confidence0,date,winner,,,,,,,
55998,1.82,0,1.550218245,7/2/2022,Kyrgios N.,,,,,,,
51108,2.44,1,1.550085777,2/20/2020,Simon G.,,,,,,,
43184,2.75,1,1.549913922,2/11/2017,Estrella Burgos V.,,,,,,,
43489,1.67,0,1.549393285,3/11/2017,Struff J.L.,,,,,,,
41424,1.69,0,1.549355962,5/17/2016,Istomin D.,,,,,,,
51832,2.6,1,1.549022809,10/31/2020,Sonego L.,,,,,,,
41170,1.53,0,1.547901522,4/20/2016,Kohlschreiber P.,,,,,,,
42062,2.85,1,1.546869099,7/22/2016,Johnson S.,,,,,,,
57124,2.58,1,1.731220366,1/11/2023,Kwon S.W.,1.58,79,,,,,
50542,1.63,0,1.546126513,10/19/2019,Rublev A.,,,,,,,
48768,2.34,1,1.546084325,3/13/2019,Kecmanovic M.,,,,,,,
42708,1.71,0,1.545906194,10/21/2016,Kohlschreiber P.,,,,,,,
48582,2.38,1,1.545428429,2/22/2019,Albot R.,,,,,,,
52512,2.17,1,1.544600199,3/18/2021,Norrie C.,,,,,,,
32038,2.66,1,1.544492083,9/24/2012,Pospisil V.,,,,,,,
42064,2.71,1,1.543922907,7/22/2016,Paire B.,,,,,,,
53661,2.69,1,1.543890667,7/29/2021,Rinderknech A.,,,,,,,
57123,1.68,0,1.54683223,1/11/2023,Ymer M.,-1,-50,,,,,
51038,1.54,0,1.543552057,2/15/2020,Ruud C.,,,,,,,
31972,1.52,0,1.543237956,9/5/2012,Tipsarevic J.,,,,,,,
32414,2.44,1,1.543134295,10/29/2012,Janowicz J.,,,,,,,
54339,1.67,0,1.543086111,11/2/2021,Paul T.,,,,,,,
48175,2.63,1,1.542862711,1/7/2019,Sandgren T.,,,,,,,
51226,2.63,1,1.542761268,8/22/2020,Anderson K.,,,,,,,
41502,1.68,0,1.541856737,5/24/2016,Jaziri M.,,,,,,,
56330,2.51,1,1.54088132,8/12/2022,Ruud C.,,,,,,,
53540,1.51,0,1.540387769,7/17/2021,Carreno Busta P.,,,,,,,
54484,1.61,0,1.53924746,1/12/2022,Opelka R.,,,,,,,
56049,1.7,0,1.53871927,7/13/2022,Karatsev A.,,,,,,,
57136,1.72,0,1.184614762,1/12/2023,Kokkinakis T.,-1,-50,,,,,
36811,1.67,0,1.537835805,7/24/2014,Troicki V.,,,,,,,
38512,2,1,1.537559458,4/20/2015,Gabashvili T.,,,,,,,
46369,1.6,0,1.537233536,4/23/2018,Cecchinato M.,,,,,,,
41740,1.51,0,1.536316413,6/25/2016,Johnson S.,,,,,,,
38350,1.63,0,1.536077246,3/28/2015,Dolgopolov O.,,,,,,,
51750,1.78,0,1.535821788,10/21/2020,Evans D.,,,,,,,
44094,1.74,0,1.535415002,5/29/2017,Dutra Silva R.,,,,,,,
47937,1.59,0,1.534616203,10/19/2018,Tsitsipas S.,,,,,,,
52145,1.9,0,1.534285712,2/9/2021,Sonego L.,,,,,,,
55400,2.33,1,1.534222595,4/27/2022,Verdasco F.,,,,,,,
47244,2.44,1,1.533375803,7/26/2018,Norrie C.,,,,,,,
56229,2.39,1,1.532617331,8/2/2022,Paire B.,,,,,,,
47747,2.65,1,1.532056545,9/28/2018,Verdasco F.,,,,,,,
37771,2.4,1,1.531945467,1/19/2015,Duckworth J.,,,,,,,
41631,2.52,1,1.53186361,6/12/2016,Thiem D.,,,,,,,
50530,1.61,0,1.531439009,10/18/2019,Krajinovic F.,,,,,,,
45502,1.84,0,1.530954804,1/2/2018,Mmoh M.,,,,,,,
52899,2.36,1,1.53057187,5/6/2021,Garin C.,,,,,,,
48115,2.23,1,1.530571452,1/1/2019,Chardy J.,,,,,,,
50040,1.98,0,1.530462605,8/13/2019,Rublev A.,,,,,,,
42402,1.73,0,1.530221086,9/4/2016,Tsonga J.W.,,,,,,,
