match,PSW,win0,confidence0,date,winner,pred correct?
50475,1.6,0,1.225365151,10/14/2019,Pella G.,
29868,1.83,0,1.225291973,1/3/2012,Andreev I.,
54772,1.9,0,1.225219145,2/10/2022,Sonego L.,
36917,2.48,0,1.225171743,8/4/2014,Russell M.,
48371,2.24,0,1.225125519,2/6/2019,Londero J.I.,
34662,1.91,0,1.225074441,9/17/2013,Zopp J.,
32911,1.85,0,1.225073196,2/19/2013,Gulbis E.,
30863,2.12,1,1.225054198,5/2/2012,Muller G.,
43507,1.88,0,1.224966434,3/12/2017,Ramos-Vinolas A.,
47344,2.23,1,1.224851241,8/2/2018,Klizan M.,
46707,1.66,1,1.224662573,5/28/2018,Ramos-Vinolas A.,
56957,1.94,1,1.224567866,10/29/2022,Auger-Aliassime F.,
55042,2.43,1,1.224551916,3/13/2022,Bublik A.,
48893,1.8,1,1.224466306,4/9/2019,Tomic B.,
39053,1.77,1,1.224453626,6/18/2015,Seppi A.,
42306,1.6,1,1.224429553,8/29/2016,Delbonis F.,
48330,2.22,1,1.224383061,1/20/2019,Bautista Agut R.,
49230,2.7,0,1.224373404,5/20/2019,Lamasine T.,
34514,2.2,0,1.224349279,8/21/2013,Dolgopolov O.,
43648,2.51,0,1.224318648,4/11/2017,Quinzi G.,
36424,1.83,1,1.224313482,6/16/2014,Johnson S.,
34077,2.3,0,1.224310198,7/9/2013,Pospisil V.,
31021,1.83,0,1.224239967,5/23/2012,Bellucci T.,
38342,1.77,1,1.224155078,3/27/2015,Anderson K.,
46527,2.01,0,1.224126886,5/7/2018,Lopez F.,
56947,1.36,1,1.224066057,10/27/2022,Auger-Aliassime F.,
49763,1.88,1,1.223982603,7/19/2019,Djere L.,
38341,1.69,1,1.223929731,3/27/2015,Mayer L.,
41184,1.99,0,1.223816483,4/21/2016,Haase R.,
35766,1.42,1,1.223783771,3/22/2014,Fognini F.,
33493,3.28,0,1.223688698,5/3/2013,Carreno-Busta P.,
46345,1.58,1,1.223642052,4/18/2018,Raonic M.,
56355,1.98,0,1.22355952,8/16/2022,Fognini F.,
33214,1.93,0,1.223534612,3/22/2013,Ramos A.,
33285,1.98,0,1.223401124,4/9/2013,Berankis R.,
32567,1.7,1,1.22336602,1/7/2013,Rochus O.,
57293,1.77,1,1.223286693,2/7/2023,Garin C.,
38743,1.81,1,1.223276896,5/12/2015,Bellucci T.,
42629,1.65,1,1.223194475,10/13/2016,Bautista Agut R.,
