match,PSW,win0,confidence0,date,winner,,,
48425,1.54,0,1.641474737,2/11/2019,Wawrinka S.,-1,-50,
55000,2.5,1,1.640279368,3/10/2022,Eubanks C.,1.5,75,
57125,2.58,1,1.63984112,1/11/2023,Kwon S.W.,1.58,79,
49699,1.55,0,1.639644586,7/14/2019,Djokovic N.,-1,-50,
53797,1.84,0,1.639581922,8/18/2021,Sonego L.,-1,-50,
56664,1.43,0,1.63794945,9/28/2022,Shapovalov D.,-1,-50,
55291,1.61,0,1.637094724,4/14/2022,Schwartzman D.,-1,-50,
47968,1.69,0,1.636418014,10/23/2018,Fognini F.,-1,-50,
51920,1.58,0,1.6356654,11/15/2020,Nadal R.,-1,-50,
43998,1.64,0,1.634635909,5/18/2017,Raonic M.,-1,-50,
55679,1.55,0,1.63462159,5/26/2022,Garin C.,-1,-50,
48204,1.78,0,1.634352654,1/10/2019,Schwartzman D.,-1,-50,
49990,1.75,0,1.633958547,8/7/2019,Thiem D.,-1,-50,
49750,2.48,1,1.633428627,7/17/2019,Chardy J.,1.48,74,
52927,2.47,1,1.632400172,5/11/2021,Auger-Aliassime F.,1.47,73.5,
51307,1.8,0,1.632318668,9/1/2020,Mmoh M.,-1,-50,
50007,2.64,1,1.631471143,8/8/2019,Mannarino A.,1.64,82,
54713,3.25,1,1.631391194,2/5/2022,Tabilo A.,2.25,112.5,
45843,2.35,1,1.63041534,2/14/2018,Escobedo E.,1.35,67.5,
48403,2.24,1,1.630374632,2/8/2019,Monfils G.,1.24,62,
49905,1.81,0,1.630300361,7/31/2019,Ramos-Vinolas A.,-1,-50,
45881,1.63,0,1.629445408,2/17/2018,Dimitrov G.,-1,-50,
57635,2.23,1,1.62807903,3/9/2023,Molcan A.,1.23,61.5,
57097,2.28,1,1.626982867,1/9/2023,Goffin D.,1.28,64,
56240,1.61,0,1.626769535,8/3/2022,Dimitrov G.,-1,-50,
54031,2.31,1,1.6259495,9/22/2021,Djere L.,1.31,65.5,
47373,1.71,0,1.624810813,8/6/2018,Ivashka I.,-1,-50,
48051,1.56,0,1.624412624,11/1/2018,Khachanov K.,-1,-50,
44495,2,1,1.621888927,7/18/2017,Dutra Silva R.,1,50,
